<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20180103,110000,226.8800000,230.0000000,226.3500000,228.5200000,5031570
SBER,60,20180103,120000,228.4500000,230.5800000,228.4100000,229.6600000,5498620
SBER,60,20180103,130000,229.6500000,230.0000000,229.0000000,229.9000000,2060870
SBER,60,20180103,140000,229.9000000,230.8000000,229.6000000,230.3800000,2317380
SBER,60,20180103,150000,230.4200000,231.8700000,230.3900000,231.2700000,3590380
SBER,60,20180103,160000,231.2700000,232.5000000,230.9200000,232.4300000,3831740
SBER,60,20180103,170000,232.4900000,232.7000000,231.4200000,232.1200000,4368520
SBER,60,20180103,180000,232.0600000,232.3000000,231.2800000,231.6300000,3612200
SBER,60,20180103,190000,231.6300000,231.9000000,230.6600000,231.9000000,4148830
SBER,60,20180104,110000,232.1300000,233.7400000,231.0000000,231.3400000,6010520
SBER,60,20180104,120000,231.3000000,233.9900000,231.1200000,233.6900000,7198710
SBER,60,20180104,130000,233.7000000,235.4500000,233.6700000,235.3600000,7019460
SBER,60,20180104,140000,235.3400000,237.9200000,234.8600000,237.4300000,6500470
SBER,60,20180104,150000,237.4900000,237.7500000,236.1300000,236.2500000,3924860
SBER,60,20180104,160000,236.2600000,237.2700000,236.2000000,237.1300000,1901170
SBER,60,20180104,170000,237.1300000,237.3400000,235.5800000,237.0200000,6794110
SBER,60,20180104,180000,237.0200000,239.5000000,236.6500000,239.0200000,7852770
SBER,60,20180104,190000,239.0400000,239.2000000,237.6000000,238.8000000,6373830
SBER,60,20180105,110000,238.8500000,239.5000000,236.7000000,236.9500000,6254760
SBER,60,20180105,120000,237.0000000,239.9500000,236.9700000,239.1400000,6963130
SBER,60,20180105,130000,239.0800000,239.3500000,238.0500000,238.3000000,3527330
SBER,60,20180105,140000,238.2900000,238.4400000,237.2100000,238.1600000,3642930
SBER,60,20180105,150000,238.2900000,238.6000000,237.6700000,238.0300000,1766600
SBER,60,20180105,160000,237.9900000,238.4700000,237.3800000,237.5800000,1540210
SBER,60,20180105,170000,237.5800000,238.2700000,237.5200000,237.6200000,1169440
SBER,60,20180105,180000,237.6200000,238.5900000,236.8100000,238.2000000,3155260
SBER,60,20180105,190000,238.2300000,238.6000000,237.8000000,238.6000000,3527270
SBER,60,20180109,110000,239.0400000,239.8500000,239.0100000,239.7000000,4968030
SBER,60,20180109,120000,239.6900000,242.9000000,239.6100000,242.3300000,11553270
SBER,60,20180109,130000,242.3300000,243.7600000,242.2500000,243.5500000,6851710
SBER,60,20180109,140000,243.5700000,243.6500000,241.5000000,242.1300000,5723930
SBER,60,20180109,150000,242.0800000,242.5900000,242.0000000,242.2400000,2536840
SBER,60,20180109,160000,242.2300000,242.2700000,241.0000000,241.2200000,5217320
SBER,60,20180109,170000,241.2300000,241.6800000,241.2200000,241.4000000,3778830
SBER,60,20180109,180000,241.3900000,241.3900000,240.1300000,240.1300000,6152110
SBER,60,20180109,190000,240.1300000,240.4900000,239.1700000,240.4000000,6376240
SBER,60,20180110,110000,240.4100000,241.2500000,238.2600000,239.0000000,7577490
SBER,60,20180110,120000,239.0500000,239.0600000,237.0600000,237.1300000,6306590
SBER,60,20180110,130000,237.1400000,239.7700000,237.1300000,239.4200000,5271340
SBER,60,20180110,140000,239.5000000,239.9300000,238.1100000,238.5300000,3220930
SBER,60,20180110,150000,238.5600000,239.3000000,238.3100000,238.4600000,1962910
SBER,60,20180110,160000,238.4600000,238.6300000,237.5700000,238.0800000,2326560
SBER,60,20180110,170000,238.0400000,238.2800000,237.3300000,237.7800000,3118850
SBER,60,20180110,180000,237.8200000,238.2700000,237.2900000,237.4500000,4182490
SBER,60,20180110,190000,237.4500000,238.3800000,237.2900000,237.7600000,5386350
SBER,60,20180111,110000,237.7600000,238.2000000,235.6200000,236.6400000,4115590
SBER,60,20180111,120000,236.6400000,237.6300000,235.2100000,237.4100000,6719330
SBER,60,20180111,130000,237.3500000,239.6400000,237.3500000,239.4100000,5506480
SBER,60,20180111,140000,239.4700000,240.6700000,238.7600000,239.8600000,5022170
SBER,60,20180111,150000,239.8000000,240.3000000,239.4500000,240.3000000,2842290
SBER,60,20180111,160000,240.3100000,240.8800000,239.8200000,240.2000000,2958310
SBER,60,20180111,170000,240.2600000,240.2800000,239.0300000,239.8000000,4704530
SBER,60,20180111,180000,239.7200000,239.8000000,237.7000000,239.0800000,6566760
SBER,60,20180111,190000,239.1100000,239.3400000,238.6200000,239.0000000,4626640
SBER,60,20180112,110000,239.0000000,239.0000000,237.3500000,237.4800000,3415820
SBER,60,20180112,120000,237.4800000,238.3000000,237.3500000,238.0800000,4112920
SBER,60,20180112,130000,238.1000000,239.0000000,237.1000000,237.1800000,4997020
SBER,60,20180112,140000,237.1700000,237.8500000,236.8700000,237.4900000,3442410
SBER,60,20180112,150000,237.5000000,237.5300000,236.0500000,236.5100000,2647280
SBER,60,20180112,160000,236.5100000,237.6300000,236.1500000,237.4900000,1536790
SBER,60,20180112,170000,237.4900000,238.3800000,237.0800000,237.1600000,2875450
SBER,60,20180112,180000,237.1000000,237.9400000,236.6000000,237.6600000,3649500
SBER,60,20180112,190000,237.6600000,237.8100000,237.2700000,237.7500000,4209140
SBER,60,20180115,110000,239.0300000,240.9700000,238.0000000,240.0600000,6367050
SBER,60,20180115,120000,240.0700000,240.8100000,239.5300000,239.7000000,3422880
SBER,60,20180115,130000,239.7400000,240.3000000,239.5000000,239.7100000,2651050
SBER,60,20180115,140000,239.7700000,239.9900000,239.2500000,239.5000000,1814290
SBER,60,20180115,150000,239.5000000,240.0000000,239.4200000,239.8800000,1082650
SBER,60,20180115,160000,239.9200000,240.2000000,238.5100000,238.6200000,2558580
SBER,60,20180115,170000,238.6200000,239.7000000,238.5900000,239.6000000,1608920
SBER,60,20180115,180000,239.6000000,239.7000000,238.7500000,238.8700000,1889000
